brand,model,release_year,ram_gb,storage_gb,screen_size_inches,battery_capacity,processor_score,camera_score,os_type,has_5g,original_price,purchase_year,age_months,usage_hours_per_day,condition,battery_health,screen_cracked,body_damage,repair_history,water_damage,city_tier,seller_type,warranty_remaining_months,box_available,charger_available,market_demand_score,resale_price
Apple,iPhone 12,2022,4,64,5.98,4386,98,90,iOS,1,67880,2022,33,2.4,Good,64,0,0,0,0,Tier2,Store,5,1,1,86,26088.37
Google,Pixel 6,2024,12,1024,6.58,4251,72,68,Android,0,65634,2025,62,7.8,Good,60,0,0,0,0,Tier3,Store,6,1,1,54,9411.47
Vivo,Vivo X90,2023,16,256,6.98,5271,84,94,Android,1,91188,2023,62,5.3,Fair,97,1,0,0,0,Tier1,Store,0,1,1,53,15178.43
OnePlus,OnePlus 10,2019,4,128,6.14,6280,98,51,Android,1,60344,2022,29,11.7,Fair,64,0,0,0,0,Tier2,Individual,0,0,1,83,16119.65
Google,Pixel 7,2019,16,256,5.99,3386,58,60,Android,1,17342,2022,42,8.3,Excellent,83,0,0,0,0,Tier1,Individual,0,1,0,48,2000.0
Vivo,Vivo V27,2023,12,512,6.97,3739,100,63,Android,0,24639,2025,4,9.1,Poor,60,0,0,0,0,Tier2,Individual,15,0,1,89,6976.8
Google,Pixel 8,2021,12,256,6.8,5145,95,63,Android,1,123363,2024,65,8.6,Fair,92,0,0,1,0,Tier2,Individual,0,1,0,83,26327.7
Xiaomi,Mi 11,2025,12,1024,5.83,4053,64,100,Android,0,142281,2025,18,11.5,Good,70,0,0,0,0,Tier1,Individual,19,1,0,86,58416.58
Vivo,Vivo X90,2023,4,1024,6.53,4588,66,67,Android,0,81729,2023,47,6.8,Good,78,1,1,0,0,Tier3,Individual,17,0,1,67,9010.08
Vivo,Vivo V27,2025,12,256,6.62,4005,92,55,Android,1,89931,2025,20,11.2,Good,89,0,0,0,0,Tier1,Individual,0,0,1,85,41793.2
Vivo,Vivo X90,2022,8,64,6.5,4244,72,82,Android,1,91179,2023,32,3.1,Good,89,0,0,0,0,Tier1,Store,9,1,1,91,41401.8
Google,Pixel 8,2020,12,256,6.81,3352,76,45,Android,1,91305,2025,57,10.7,Fair,58,0,0,0,0,Tier1,Individual,19,1,1,77,15199.08
OnePlus,OnePlus 9,2020,6,128,6.03,3192,61,81,Android,1,30818,2023,40,2.9,Good,92,0,0,0,0,Tier1,Individual,16,1,1,52,10517.75
Google,Pixel 6,2023,16,1024,6.26,6114,71,51,Android,1,78303,2024,51,8.7,Good,78,0,0,0,0,Tier2,Individual,0,1,1,76,23869.54
OnePlus,OnePlus 9,2021,8,256,6.82,5561,92,88,Android,1,53867,2024,39,11.7,Fair,81,0,0,0,0,Tier2,Store,0,0,1,50,10624.81
Apple,iPhone 15,2024,4,128,6.34,6104,84,53,iOS,1,137380,2025,18,10.8,Good,83,0,0,0,0,Tier3,Individual,0,1,1,66,69415.27
Google,Pixel 6,2019,12,256,5.98,3566,99,100,Android,0,38098,2020,6,4.0,Excellent,87,0,0,0,0,Tier3,Store,15,0,1,72,24714.59
Xiaomi,Redmi Note 12,2020,12,64,5.97,3059,63,54,Android,1,104084,2025,18,1.4,Good,68,0,0,0,0,Tier3,Individual,12,0,1,100,44978.3
Realme,Realme Narzo 60,2024,16,256,5.54,5586,55,40,Android,1,16698,2024,44,7.8,Good,87,0,0,0,0,Tier1,Individual,1,0,1,51,5172.12
Vivo,Vivo X90,2023,8,1024,6.52,5535,97,45,Android,1,144422,2025,68,5.2,Fair,69,0,1,0,0,Tier2,Store,21,1,1,54,15673.57
Apple,iPhone 13,2020,8,128,6.27,5377,47,56,iOS,0,61246,2025,40,4.0,Good,62,0,0,1,0,Tier2,Store,0,1,1,91,20236.03
Realme,Realme Narzo 60,2024,6,1024,5.78,5455,71,80,Android,1,41894,2024,9,7.1,Good,97,0,0,0,0,Tier2,Store,12,0,0,74,21417.78
Xiaomi,Poco X5,2025,4,1024,6.27,3080,91,46,Android,1,40165,2025,30,8.3,Good,100,0,0,0,0,Tier2,Store,3,1,0,88,17212.5
Apple,iPhone 13,2025,8,256,6.11,3461,92,74,iOS,1,97025,2025,48,7.9,Good,85,0,0,0,0,Tier3,Store,14,0,1,64,24415.52
Apple,iPhone 15,2021,6,128,5.69,4957,47,62,iOS,1,94429,2024,42,2.4,Good,97,0,0,0,0,Tier2,Store,15,0,1,51,32448.94
Apple,iPhone 13,2023,12,128,6.0,5081,97,51,iOS,1,99939,2023,31,3.8,Excellent,86,0,0,0,0,Tier3,Store,0,1,1,47,32806.55
Samsung,Galaxy S22,2020,12,256,5.74,3388,77,78,Android,1,67436,2025,48,8.8,Excellent,85,0,1,1,0,Tier2,Store,0,1,0,90,22279.88
Google,Pixel 7,2021,16,64,5.51,3354,63,87,Android,0,148970,2023,54,9.3,Fair,96,0,0,0,0,Tier1,Individual,0,1,1,54,27857.6
Xiaomi,Poco X5,2023,8,64,5.83,5074,57,46,Android,1,115222,2023,45,8.7,Excellent,75,0,1,1,0,Tier1,Individual,8,1,1,71,28373.87
Samsung,Galaxy S22,2022,8,256,6.95,3205,49,75,Android,1,19655,2022,6,3.0,Good,86,0,0,0,0,Tier2,Individual,16,0,0,63,11071.2
Google,Pixel 8,2022,12,64,5.92,5906,41,98,Android,1,16355,2023,31,5.3,Excellent,81,0,0,0,0,Tier3,Store,0,1,1,56,5973.26
Samsung,Galaxy S23,2023,12,512,6.18,3873,86,97,Android,0,44877,2025,52,5.8,Excellent,87,0,0,0,0,Tier3,Store,16,0,1,62,11451.56
Xiaomi,Mi 11,2020,8,1024,6.04,5821,53,50,Android,1,94644,2025,21,4.7,Good,82,0,0,0,0,Tier3,Individual,9,1,0,51,24168.83
Apple,iPhone 11,2020,16,128,5.81,4934,89,43,iOS,1,128400,2021,46,10.1,Fair,88,0,0,0,0,Tier2,Individual,15,0,0,53,28448.7
Xiaomi,Redmi Note 12,2024,16,1024,6.82,5082,87,93,Android,0,70453,2024,7,2.7,Good,69,0,0,0,0,Tier1,Individual,0,0,1,96,32938.83
OnePlus,Nord 3,2025,6,64,6.17,5121,80,56,Android,1,18323,2025,25,1.9,Poor,77,0,0,1,0,Tier1,Individual,22,0,1,44,5597.94
Apple,iPhone 12,2021,4,1024,6.41,4534,44,93,iOS,1,75453,2022,58,5.7,Fair,91,0,0,0,0,Tier1,Individual,15,1,0,82,19822.59
Google,Pixel 6,2020,12,1024,5.85,5883,53,42,Android,1,12478,2025,58,5.7,Excellent,65,0,0,0,1,Tier1,Store,0,1,1,56,2000.0
OnePlus,OnePlus 10,2019,16,512,6.15,3508,53,50,Android,0,132118,2021,49,7.6,Good,76,0,0,0,0,Tier2,Individual,0,0,0,71,34136.86
Vivo,Vivo X90,2023,12,1024,6.08,6077,67,58,Android,0,83630,2023,5,9.5,Fair,81,1,0,0,0,Tier2,Individual,0,1,1,66,20775.42
Samsung,Galaxy S22,2023,6,512,6.49,5920,77,92,Android,1,46431,2024,54,10.0,Good,76,0,1,0,0,Tier2,Individual,0,1,1,43,8765.17
Samsung,Galaxy A54,2025,8,256,5.78,4000,48,53,Android,1,31611,2025,11,5.6,Fair,100,0,0,0,0,Tier1,Individual,5,1,1,79,15581.27
OnePlus,Nord 3,2023,8,512,6.93,5077,91,98,Android,1,21144,2023,8,11.1,Fair,75,0,0,0,0,Tier3,Individual,3,1,1,49,7054.55
Samsung,Galaxy S21,2021,8,1024,6.45,4364,62,63,Android,1,100950,2021,15,5.1,Fair,94,0,0,0,0,Tier1,Individual,0,1,0,71,45347.8
OnePlus,OnePlus 9,2025,6,1024,6.84,5237,62,69,Android,0,51277,2025,52,2.0,Excellent,97,0,0,0,1,Tier1,Store,5,1,0,49,8228.9
Samsung,Galaxy S21,2021,8,64,6.34,5568,92,68,Android,1,89125,2024,1,8.0,Poor,100,0,0,0,0,Tier3,Individual,22,1,1,41,24789.69
Realme,Realme GT,2020,6,128,5.9,3697,67,64,Android,1,118580,2021,30,8.9,Good,60,0,0,1,0,Tier1,Individual,0,1,1,49,15039.37
Apple,iPhone 14,2020,8,64,6.97,4182,53,68,iOS,1,92592,2022,2,1.3,Fair,98,1,0,0,0,Tier3,Individual,18,0,1,97,61542.13
Samsung,Galaxy S21,2022,4,128,6.89,6123,76,51,Android,1,22426,2024,71,2.2,Excellent,85,0,0,0,0,Tier3,Store,22,0,1,78,5381.02
OnePlus,OnePlus 11,2025,12,128,6.25,4096,43,86,Android,1,19041,2025,15,8.3,Fair,91,0,0,0,0,Tier3,Individual,0,1,1,73,3689.51
Apple,iPhone 14,2022,8,128,5.52,4761,76,97,iOS,1,107097,2024,64,3.5,Good,94,0,0,0,0,Tier2,Store,0,1,1,63,23537.29
OnePlus,OnePlus 9,2020,12,256,5.56,4962,54,84,Android,1,14543,2021,68,10.4,Good,67,0,0,1,0,Tier3,Individual,9,0,1,72,2000.0
Xiaomi,Redmi Note 12,2021,16,256,5.52,5907,61,43,Android,1,54948,2024,49,3.6,Good,80,0,0,0,0,Tier2,Store,17,1,1,59,13148.58
Vivo,Vivo X90,2024,8,256,6.39,3330,96,57,Android,1,27064,2024,39,11.3,Good,64,0,0,0,0,Tier1,Store,24,1,1,64,7904.57
Xiaomi,Poco X5,2020,12,512,5.88,3468,53,72,Android,1,147423,2022,15,3.0,Fair,76,0,0,0,0,Tier2,Individual,2,0,1,67,42401.05
OnePlus,Nord 3,2023,4,512,5.8,3067,47,48,Android,0,120463,2024,64,7.1,Fair,63,0,0,0,0,Tier2,Individual,6,1,1,56,15386.31
OnePlus,OnePlus 9,2024,16,1024,6.73,4140,69,51,Android,1,108941,2024,8,6.3,Excellent,98,1,0,0,0,Tier2,Store,7,0,1,67,50408.93
Vivo,Vivo V27,2022,6,256,6.96,3630,80,88,Android,1,51276,2025,62,6.8,Excellent,82,0,1,0,0,Tier3,Store,3,1,1,61,8369.64
Google,Pixel 8,2021,4,64,6.74,3449,98,64,Android,1,89777,2025,30,1.4,Good,74,0,0,0,0,Tier3,Store,4,1,1,43,17267.57
Realme,Realme GT,2022,16,1024,5.62,3362,45,70,Android,1,45071,2022,63,8.4,Fair,90,0,0,1,0,Tier3,Individual,0,1,1,95,9825.09
Apple,iPhone 15,2025,12,256,6.87,4190,44,58,iOS,1,117545,2025,24,1.2,Fair,74,0,0,0,0,Tier2,Individual,0,1,1,85,49621.44
Vivo,Vivo V27,2019,12,1024,6.24,6466,53,99,Android,1,27462,2024,48,6.8,Good,83,0,0,0,0,Tier3,Individual,23,1,1,74,5980.05
Google,Pixel 7,2025,16,64,6.67,3142,55,54,Android,1,65027,2025,56,6.1,Excellent,61,0,0,1,0,Tier1,Individual,7,1,1,89,15615.16
Samsung,Galaxy S22,2023,8,256,6.06,4085,48,98,Android,1,34504,2024,59,10.5,Poor,98,0,1,0,0,Tier2,Individual,2,1,1,82,7798.21
Samsung,Galaxy S21,2021,12,128,5.77,3908,79,99,Android,1,95286,2023,62,1.9,Poor,77,0,0,0,0,Tier3,Individual,0,1,0,83,17791.73
Google,Pixel 6,2023,8,64,5.93,6365,83,83,Android,0,82130,2024,58,9.1,Excellent,69,0,0,0,0,Tier3,Individual,0,1,1,68,16804.98
Vivo,Vivo V27,2021,6,128,5.85,4335,79,100,Android,1,126530,2024,39,4.9,Good,92,0,0,0,0,Tier3,Store,0,1,1,57,30644.82
Apple,iPhone 14,2022,12,512,6.65,3733,99,45,iOS,1,111440,2024,15,10.4,Good,96,0,0,0,0,Tier1,Individual,8,0,1,87,83160.54
Vivo,Vivo X90,2023,6,64,6.73,6443,79,98,Android,1,134421,2025,11,9.3,Good,63,0,0,0,0,Tier1,Individual,21,0,1,73,47885.74
Vivo,Vivo X90,2025,12,1024,6.3,3112,99,81,Android,0,77858,2025,39,3.9,Poor,88,0,0,0,0,Tier3,Individual,21,1,1,91,19985.34
OnePlus,OnePlus 10,2023,16,1024,5.66,6178,85,72,Android,1,68370,2025,16,7.8,Good,69,0,0,0,0,Tier1,Individual,18,0,1,74,31836.03
Xiaomi,Redmi Note 12,2020,8,1024,6.9,3197,72,73,Android,0,28986,2022,56,9.4,Excellent,96,1,0,1,0,Tier2,Individual,0,1,1,91,4738.8
Realme,Realme GT,2024,6,64,5.69,5461,90,69,Android,1,139582,2024,21,3.5,Good,55,0,0,1,0,Tier2,Individual,0,1,1,55,23102.64
Samsung,Galaxy S22,2022,6,256,5.71,4582,72,72,Android,1,79681,2023,37,11.8,Fair,97,0,1,0,0,Tier1,Individual,0,1,0,58,16547.71
Realme,Realme Narzo 60,2023,16,1024,5.61,4369,52,77,Android,1,73722,2024,17,6.0,Good,71,0,0,0,0,Tier2,Individual,6,1,1,62,23106.16
Apple,iPhone 14,2022,6,1024,5.99,5340,59,51,iOS,1,72386,2023,54,11.3,Excellent,79,0,0,0,0,Tier3,Individual,0,1,1,48,14346.1
Vivo,Vivo V27,2024,8,256,6.78,6481,44,75,Android,0,18857,2024,18,3.3,Fair,87,0,0,0,0,Tier2,Individual,17,1,1,58,8518.69
OnePlus,OnePlus 10,2023,12,512,5.82,4126,55,72,Android,1,131710,2023,18,4.9,Fair,92,0,0,0,0,Tier1,Individual,12,1,1,68,53836.4
Realme,Realme Narzo 60,2025,16,128,6.84,4699,84,53,Android,1,147134,2025,50,3.2,Good,71,1,0,0,0,Tier1,Individual,11,1,1,45,11911.74
Google,Pixel 8,2019,6,256,5.53,5120,76,89,Android,1,127611,2024,49,3.9,Good,57,1,0,0,0,Tier3,Store,0,1,1,48,10619.71
Vivo,Vivo X90,2023,8,256,6.71,5370,81,55,Android,1,26309,2024,23,6.5,Good,68,0,0,1,0,Tier3,Store,0,1,1,43,4291.03
Google,Pixel 6,2020,6,1024,6.97,6401,90,87,Android,1,83518,2023,46,4.2,Good,94,0,0,0,0,Tier2,Store,0,0,1,87,33906.84
OnePlus,OnePlus 9,2020,12,512,5.52,3418,42,76,Android,1,36562,2024,10,2.8,Good,88,0,0,0,0,Tier3,Individual,0,1,0,90,20360.26
Xiaomi,Poco X5,2024,16,512,5.79,5522,63,86,Android,0,25751,2024,39,10.0,Fair,76,0,0,1,0,Tier2,Store,0,0,1,81,8039.94
Samsung,Galaxy S23,2025,6,256,5.84,5338,44,84,Android,1,115168,2025,58,5.6,Fair,92,0,0,0,0,Tier3,Store,0,1,1,88,34005.31
Apple,iPhone 13,2020,6,1024,6.85,4190,97,52,iOS,1,63585,2024,70,6.0,Good,96,0,1,0,0,Tier1,Individual,12,0,1,47,10514.34
OnePlus,OnePlus 10,2021,4,64,6.84,4689,70,60,Android,1,49373,2021,58,9.5,Excellent,72,0,0,0,0,Tier1,Individual,18,1,1,47,10317.37
OnePlus,OnePlus 9,2025,6,256,5.72,4386,57,88,Android,0,41197,2025,69,4.6,Fair,62,0,0,0,0,Tier2,Store,23,1,1,84,7885.9
OnePlus,OnePlus 11,2023,8,64,6.41,3865,59,64,Android,1,18510,2023,30,6.2,Excellent,100,0,0,0,0,Tier2,Store,0,1,1,100,10236.95
Realme,Realme GT,2023,16,64,6.6,5361,96,100,Android,1,37475,2023,18,5.6,Fair,77,0,0,1,0,Tier2,Store,0,0,1,46,3353.01
Vivo,Vivo V27,2022,8,512,6.48,3230,66,77,Android,1,76470,2022,43,1.1,Fair,94,0,1,0,0,Tier1,Individual,0,1,0,100,21625.46
OnePlus,OnePlus 11,2020,4,256,6.11,3294,81,84,Android,1,105008,2021,27,2.2,Excellent,55,0,0,0,0,Tier2,Store,0,1,1,89,35667.7
Xiaomi,Mi 11,2024,8,64,6.74,4826,86,95,Android,1,82178,2024,16,8.2,Excellent,85,0,0,0,0,Tier3,Individual,9,1,1,85,48449.98
OnePlus,OnePlus 10,2025,8,1024,6.44,3201,67,88,Android,1,92534,2025,8,8.2,Fair,59,0,0,1,0,Tier2,Individual,18,0,1,47,17806.27
Vivo,Vivo V27,2024,8,256,5.96,6477,81,91,Android,1,84136,2025,7,5.8,Fair,87,0,0,1,0,Tier1,Store,18,1,1,68,32259.74
Samsung,Galaxy A54,2020,12,256,6.03,3865,65,89,Android,1,94181,2023,7,10.3,Fair,58,0,0,0,0,Tier2,Store,0,1,0,99,39443.38
OnePlus,OnePlus 10,2022,12,1024,5.71,3654,83,47,Android,1,110526,2024,43,6.5,Good,59,0,1,0,0,Tier1,Store,17,0,1,72,23391.02
Google,Pixel 6,2023,6,256,5.95,4732,93,50,Android,1,93369,2025,7,5.3,Good,91,0,0,0,0,Tier3,Store,0,1,1,43,28489.17
Google,Pixel 7,2021,16,64,6.55,5575,55,43,Android,0,49896,2021,66,2.9,Poor,97,1,0,0,0,Tier2,Individual,0,0,1,43,2278.64
Samsung,Galaxy S22,2024,16,1024,5.93,4475,80,83,Android,1,44210,2025,18,4.8,Poor,100,0,0,0,0,Tier3,Store,3,1,1,98,22282.67
Vivo,Vivo V27,2023,12,64,5.68,3034,43,72,Android,0,66286,2023,13,9.9,Excellent,68,0,1,0,0,Tier3,Individual,0,1,1,91,26836.74
Google,Pixel 8,2023,12,64,6.88,5052,55,50,Android,1,21841,2025,3,8.8,Excellent,66,0,0,0,0,Tier1,Individual,0,1,1,51,10433.18
OnePlus,OnePlus 11,2021,8,256,6.28,4303,56,42,Android,1,99429,2025,43,5.3,Good,97,0,0,0,0,Tier1,Store,6,0,1,74,35911.21
Vivo,Vivo X90,2022,8,1024,6.57,5500,57,57,Android,1,40491,2023,28,9.1,Excellent,71,0,0,1,0,Tier1,Individual,21,0,1,65,15179.37
Xiaomi,Poco X5,2019,6,512,6.38,6209,85,77,Android,0,68212,2021,38,4.9,Excellent,64,0,0,0,1,Tier3,Store,17,1,1,90,15292.09
Realme,Realme Narzo 60,2021,8,256,6.25,5730,52,92,Android,1,86953,2022,51,9.5,Good,69,0,0,0,0,Tier2,Individual,0,1,1,68,13787.64
OnePlus,OnePlus 10,2019,8,128,6.83,3634,98,42,Android,0,88647,2020,48,2.5,Fair,76,0,1,0,0,Tier3,Individual,1,1,1,97,18269.11
Apple,iPhone 14,2021,8,256,6.35,4694,53,41,iOS,1,61091,2021,68,6.6,Good,79,0,0,0,0,Tier3,Store,0,1,1,42,7851.6
Apple,iPhone 13,2021,12,64,6.67,3863,98,96,iOS,0,94955,2023,57,7.6,Good,77,1,0,1,0,Tier3,Individual,0,1,1,44,11756.4
Apple,iPhone 12,2021,4,1024,6.85,5008,63,72,iOS,1,115126,2024,18,8.4,Good,72,0,0,1,0,Tier3,Individual,0,1,1,65,41631.43
Xiaomi,Mi 11,2019,8,512,6.7,3741,45,100,Android,0,118852,2024,51,10.3,Poor,76,0,0,0,0,Tier2,Store,0,1,1,64,11600.7
OnePlus,OnePlus 10,2024,4,256,6.78,4289,50,87,Android,0,94188,2024,13,7.6,Excellent,97,0,0,0,0,Tier2,Store,9,1,1,56,45698.56
OnePlus,OnePlus 9,2024,16,64,5.66,4167,97,52,Android,1,89449,2025,6,3.7,Good,96,0,0,0,0,Tier2,Individual,0,1,1,87,63468.05
OnePlus,OnePlus 9,2023,12,256,5.63,3077,53,48,Android,1,147097,2024,41,2.1,Good,71,0,1,0,0,Tier2,Individual,0,1,0,55,22380.89
Realme,Realme Narzo 60,2022,4,128,6.22,4766,59,66,Android,1,143162,2023,36,7.8,Fair,62,0,0,0,0,Tier1,Store,0,1,1,88,34212.25
Samsung,Galaxy A54,2021,6,128,6.18,3953,83,82,Android,1,40606,2024,17,9.9,Poor,61,0,0,0,0,Tier2,Individual,0,1,1,54,6729.27
Samsung,Galaxy S23,2019,4,1024,5.94,6187,76,85,Android,1,74626,2021,31,3.3,Good,76,0,1,0,0,Tier2,Store,0,1,1,65,19788.77
OnePlus,OnePlus 9,2024,12,64,6.33,4200,71,96,Android,1,55547,2025,59,3.3,Good,94,0,0,1,0,Tier3,Store,11,1,1,73,14795.07
OnePlus,OnePlus 11,2025,12,1024,5.9,4319,94,71,Android,1,117164,2025,5,4.1,Good,97,0,0,1,0,Tier3,Store,13,0,1,89,82376.84
Apple,iPhone 14,2021,4,64,6.36,5929,53,72,iOS,1,110565,2024,49,1.5,Fair,57,0,1,0,0,Tier2,Store,1,1,1,82,18523.76
Samsung,Galaxy A54,2024,8,128,6.51,3497,58,55,Android,0,83995,2024,23,9.7,Good,78,0,0,0,0,Tier1,Store,7,0,1,79,41474.54
Vivo,Vivo X90,2025,12,128,6.27,5074,41,76,Android,1,94113,2025,35,3.9,Excellent,56,0,0,0,0,Tier1,Store,16,1,1,95,30006.75
Xiaomi,Poco X5,2020,16,256,5.93,6181,90,71,Android,1,99524,2022,50,10.9,Good,69,0,0,0,0,Tier1,Store,6,1,1,98,25926.5
Google,Pixel 6,2024,12,1024,6.26,3094,62,58,Android,1,128371,2024,29,9.4,Fair,99,0,0,0,0,Tier1,Store,6,1,1,91,62530.62
Samsung,Galaxy S22,2021,6,256,5.72,4545,85,71,Android,0,45878,2024,53,5.4,Fair,65,0,1,0,0,Tier2,Store,16,1,1,64,7113.45
OnePlus,OnePlus 11,2025,12,1024,6.34,5777,68,74,Android,1,81726,2025,60,1.2,Poor,82,0,0,0,0,Tier3,Store,15,1,0,52,10898.94
Vivo,Vivo X90,2021,12,256,6.81,6030,63,72,Android,1,100171,2023,71,11.0,Good,74,0,0,0,0,Tier1,Individual,18,1,1,51,11574.85
Google,Pixel 7,2022,12,64,5.89,3968,51,74,Android,1,112320,2024,22,3.1,Poor,58,0,0,0,0,Tier2,Individual,13,0,1,47,14923.61
Realme,Realme Narzo 60,2021,8,256,5.89,3557,44,71,Android,1,120222,2022,52,6.9,Good,81,0,0,0,0,Tier2,Individual,0,1,1,83,33030.59
Samsung,Galaxy S23,2025,8,1024,6.33,6289,97,73,Android,1,134277,2025,71,8.4,Good,93,0,0,0,0,Tier3,Store,24,1,1,65,33240.78
Google,Pixel 8,2025,12,256,6.33,3703,70,91,Android,1,129301,2025,49,9.6,Good,90,0,0,0,0,Tier2,Store,0,0,1,40,22618.25
Vivo,Vivo V27,2020,16,64,6.86,4814,54,88,Android,0,58794,2025,48,8.0,Excellent,97,0,0,0,0,Tier2,Individual,2,1,1,92,27213.13
Apple,iPhone 13,2020,6,256,5.55,5568,97,90,iOS,0,40796,2025,70,9.8,Good,98,0,0,0,1,Tier1,Individual,0,1,1,85,5907.48
Samsung,Galaxy S21,2022,4,128,6.77,5408,81,81,Android,1,29517,2022,63,1.9,Fair,77,0,0,0,0,Tier3,Store,8,1,1,97,9122.49
Realme,Realme Narzo 60,2021,4,1024,5.75,6226,41,58,Android,1,90202,2022,69,2.1,Good,86,0,0,1,0,Tier2,Store,2,0,1,95,20332.58
OnePlus,Nord 3,2021,12,128,6.4,3476,43,96,Android,1,10613,2022,35,2.9,Poor,99,0,1,1,0,Tier3,Individual,0,1,1,66,2530.03
Samsung,Galaxy S22,2023,8,256,5.75,4144,50,99,Android,1,82129,2024,4,2.6,Poor,56,0,0,1,0,Tier3,Store,4,0,1,51,12797.81
Google,Pixel 6,2020,16,512,6.95,4100,65,75,Android,0,32343,2020,16,4.9,Poor,69,1,0,0,0,Tier1,Individual,15,0,1,43,7346.69
Google,Pixel 7,2023,4,64,6.46,4652,61,91,Android,1,112580,2023,29,4.3,Excellent,67,0,0,0,0,Tier2,Store,19,1,1,59,37131.16
Google,Pixel 6,2021,12,64,5.73,4423,56,43,Android,1,77368,2022,36,6.0,Excellent,60,0,0,0,0,Tier1,Individual,12,1,1,82,25353.48
OnePlus,OnePlus 9,2022,12,256,5.71,3235,48,97,Android,1,126155,2025,43,10.0,Good,71,0,0,0,0,Tier3,Store,0,1,1,73,32558.5
Xiaomi,Redmi Note 12,2024,4,512,5.8,5908,59,98,Android,1,88936,2025,61,7.9,Fair,68,0,0,0,0,Tier1,Store,13,0,1,86,17232.47
Xiaomi,Redmi Note 12,2022,16,256,5.56,6417,80,86,Android,1,20320,2022,34,1.6,Fair,78,0,0,0,0,Tier3,Store,4,0,1,93,3521.03
Apple,iPhone 14,2025,6,256,5.79,5213,94,90,iOS,0,78955,2025,4,10.3,Fair,69,0,0,0,0,Tier1,Individual,20,0,1,84,42152.13
Apple,iPhone 14,2024,8,1024,6.93,5569,95,74,iOS,1,125870,2024,29,4.4,Good,96,0,0,0,0,Tier2,Store,3,0,1,59,55246.41
Apple,iPhone 15,2024,8,512,5.66,3820,94,98,iOS,1,13777,2024,34,6.3,Fair,74,1,1,1,0,Tier3,Individual,24,1,1,85,7080.64
Realme,Realme Narzo 60,2024,16,64,6.51,5876,56,77,Android,1,27585,2024,34,1.8,Good,66,0,1,0,0,Tier1,Store,0,0,1,74,2330.83
Realme,Realme GT,2023,6,256,5.64,4833,89,99,Android,1,64682,2023,45,4.1,Fair,89,0,0,0,0,Tier1,Individual,7,1,1,78,12391.67
Samsung,Galaxy S22,2025,4,64,5.82,5382,95,43,Android,1,37249,2025,63,9.0,Fair,76,0,0,0,0,Tier1,Store,8,1,1,51,6079.7
Samsung,Galaxy A54,2025,4,1024,6.7,5873,64,80,Android,0,146459,2025,18,8.0,Poor,93,0,1,0,1,Tier2,Store,6,1,1,59,18020.26
OnePlus,OnePlus 11,2022,4,128,7.0,6306,60,41,Android,1,109766,2022,58,5.8,Fair,79,0,0,0,0,Tier2,Store,19,1,1,95,28665.9
Realme,Realme Narzo 60,2024,16,256,5.54,5556,78,50,Android,1,61501,2025,37,4.7,Good,59,0,0,0,0,Tier1,Store,0,1,1,90,16839.79
Realme,Realme Narzo 60,2019,4,512,6.33,4847,93,68,Android,0,30738,2022,54,11.6,Fair,81,0,0,0,0,Tier2,Store,0,0,1,50,5088.57
Google,Pixel 7,2021,6,128,5.67,5227,51,67,Android,1,31566,2024,18,11.5,Excellent,56,0,0,0,0,Tier3,Store,18,1,0,85,18262.85
Google,Pixel 8,2022,8,512,6.65,4778,80,95,Android,1,51176,2025,15,9.7,Good,81,0,0,0,0,Tier1,Store,0,1,1,93,29218.35
Realme,Realme Narzo 60,2025,12,1024,6.79,4250,99,47,Android,0,67689,2025,50,7.1,Fair,74,0,0,0,0,Tier2,Individual,0,1,1,71,11626.33
Google,Pixel 8,2025,8,512,6.84,5057,89,65,Android,1,32064,2025,2,7.2,Excellent,71,0,0,0,0,Tier1,Store,13,1,1,54,15768.75
Vivo,Vivo X90,2023,4,512,5.65,5195,80,86,Android,0,105443,2025,61,10.5,Fair,97,0,1,0,0,Tier2,Store,0,0,0,98,21718.7
OnePlus,OnePlus 11,2020,8,1024,5.71,5035,83,97,Android,1,107071,2025,24,2.3,Excellent,58,0,0,0,0,Tier3,Individual,0,1,1,59,28163.76
Vivo,Vivo X90,2025,12,512,6.84,4297,77,86,Android,1,73650,2025,35,11.5,Good,89,1,0,0,0,Tier2,Individual,18,0,0,84,22366.31
Xiaomi,Mi 11,2023,6,512,6.15,4715,98,95,Android,0,42647,2023,52,7.7,Good,81,0,0,1,0,Tier1,Individual,0,1,1,97,11725.3
OnePlus,Nord 3,2022,12,1024,6.96,6261,78,78,Android,1,95632,2023,19,1.6,Excellent,80,0,1,1,0,Tier1,Store,20,1,0,86,40558.6
Vivo,Vivo X90,2020,6,64,6.81,4252,48,88,Android,1,20446,2021,53,3.4,Excellent,66,0,0,0,0,Tier2,Individual,0,0,1,73,7386.78
Vivo,Vivo V27,2022,16,64,6.11,6008,77,79,Android,1,139062,2024,68,7.3,Good,63,0,0,0,0,Tier2,Individual,18,0,1,63,17117.32
Vivo,Vivo V27,2019,16,1024,6.0,5098,44,99,Android,1,72371,2025,62,2.0,Excellent,98,0,1,0,0,Tier2,Individual,0,1,1,63,11970.18
Vivo,Vivo X90,2024,16,64,6.89,5014,84,49,Android,1,28161,2024,67,10.2,Fair,74,0,0,0,0,Tier2,Individual,4,1,1,70,3556.15
